단지코드,차량보유대수(전체),차량보유대수(전기차),전기충전기설치여부(지상),전기충전기설치여부(지하),전기차전용주차면수(지상),전기차전용주차면수(지하),외부인개방여부(지상),외부인개방여부(지하),이용가능시작시간(지상),이용가능시작시간(지하),이용종료시작시간(지상),이용종료시작시간(지하),전기차충전시설(상세),전기차 충전시설 설치대수(지상),전기차 충전시설 설치대수(지하),입주편의시설
A15005302,424,0,미설치,미설치,0,0,,,시 분,시 분,시 분,시 분,,,,없음
A15005303,681,15,설치,미설치,9,0,외부인허용,,0시 0분,시 분,24시 0분,시 분,◆1◆|지상|스탠드형충전기|AC단상 5핀|완속|9|프르그링크|,9,0,있음
A15005401,176,0,미설치,미설치,0,0,,,시 분,시 분,시 분,시 분,,,,없음
A15005402,1047,31,미설치,설치,0,5,,입주민전용,시 분,23시 1분,시 분,23시 1분,"◆1◆|지하|스탠드형충전기|AC단상 5핀|급속|1|KEPCO|,◆2◆|지하|스탠드형충전기|AC단상 5핀|완속|2|KEPCO|,◆3◆|지하|벽부형충전기|AC단상 5핀|완속|2|매니지온|",0,5,없음
A15005501,388,5,미설치,설치,0,9,입주민전용,입주민전용,,0시 1분,,23시 59분,◆1◆|지하|스탠드형충전기|AC3상 7핀|완속|9|파킹클라우드|,0,9,없음
A15005602,210,3,미설치,미설치,0,0,,,시 분,시 분,시 분,시 분,,,,없음
A15005603,325,0,설치,미설치,4,0,입주민전용,,24시 0분,시 분,24시 0분,시 분,◆1◆|지상|스탠드형충전기|AC단상 5핀|완속|4|LG U+ 볼트업|,4,0,없음
A15005705,1341,50,미설치,설치,0,20,입주민전용,입주민전용,시 분,0시 0분,시 분,0시 0분,◆1◆|지하|벽부형충전기|직접입력|급속|20|스타코프|,0,20,없음
A15007002,289,0,설치,설치,8,6,,입주민전용,0시 1분,0시 1분,23시 59분,23시 59분,"◆1◆|지하|이동형충전기|AC단상 5핀|완속|4|파워큐브|,◆2◆|지하|벽부형충전기|AC단상 5핀|완속|6|이지차저|,◆3◆|지상|스탠드형충전기|AC단상 5핀|완속|8|이엘일렉트릭|",8,10,있음
A15007101,196,0,미설치,설치,0,5,,입주민전용,시 분,1시 0분,시 분,23시 0분,◆1◆|지하|벽부형충전기|AC단상 5핀|완속|5|갑을명가아파트입주자|,0,5,없음
A15007201,454,10,미설치,설치,0,6,,,시 분,0시 0분,시 분,23시 59분,◆1◆|지하|벽부형충전기|AC3상 7핀|완속|6|차지비|,0,6,없음
A15009201,0,0,미설치,미설치,0,0,,외부인허용,시 분,시 분,시 분,시 분,,,,없음
A15009401,258,6,미설치,설치,0,6,,입주민전용,시 분,0시 0분,시 분,23시 59분,◆1◆|지하|벽부형충전기|AC단상 5핀|완속|6|플러그링크|,0,6,있음
A15009402,434,1,미설치,설치,0,23,,,시 분,1시 0분,시 분,23시 59분,◆1◆|지하|이동형충전기|직접입력|완속|23|파워큐브코리아|,0,23,없음
A15009502,100,5,설치,미설치,3,0,입주민전용,,9시 10분,시 분,9시 10분,시 분,◆1◆|지상|스탠드형충전기|AC3상 7핀|완속|3|지에스차지비|,3,0,없음
A15009503,235,0,미설치,미설치,0,0,외부인허용,외부인허용,시 분,시 분,시 분,시 분,,,,없음
A15009504,312,2,미설치,설치,0,4,,입주민전용,시 분,0시 0분,시 분,0시 0분,◆1◆|지하|벽부형충전기|AC단상 5핀|완속|4|한국전기차충전서비스|,0,4,없음
A15009505,408,4,설치,미설치,2,0,외부인허용,,1시 1분,시 분,23시 59분,시 분,◆1◆|지상|벽부형충전기|AC단상 5핀|완속|2|한국EV링크넷|,2,0,없음
A15009601,0,0,미설치,미설치,0,0,,,시 분,시 분,시 분,시 분,,,,없음
A15009602,0,0,설치,미설치,3,0,외부인허용,,0시 24분,시 분,24시 0분,시 분,◆1◆|지상|스탠드형충전기|AC단상 5핀|완속|3|(주)LG유플러스|,3,0,없음
A15009603,240,8,미설치,설치,0,5,,입주민전용,시 분,9시 0분,시 분,9시 0분,◆1◆|지하|벽부형충전기|DC콤보 7핀|완속|5|(주)클린일렉스|,0,5,없음
A15009604,280,8,설치,미설치,5,0,입주민전용,,0시 0분,시 분,0시 0분,시 분,◆1◆|지상|스탠드형충전기|AC단상 5핀|완속|5|나이스인프라(주)|,5,0,없음
A15009605,320,4,설치,미설치,5,0,입주민전용,,24시 0분,시 분,24시 0분,시 분,◆1◆|지상|스탠드형충전기|AC단상 5핀|완속|5|에버온|,5,0,있음
A15009606,350,3,설치,미설치,7,0,입주민전용,,0시 0분,시 분,24시 0분,시 분,◆1◆|지상|벽부형충전기|AC단상 5핀|완속|7|(주)에버온|,7,0,없음
A15009607,342,3,미설치,미설치,0,0,,,시 분,시 분,시 분,시 분,,,,없음
A15010201,100,0,미설치,설치,0,2,입주민전용,입주민전용,시 분,6시 0분,시 분,6시 0분,◆1◆|지하|벽부형충전기|AC단상 5핀|완속|2|홈앤서비스|,0,2,없음
A15010202,455,8,설치,설치,8,8,,외부인허용,0시 0분,0시 0분,23시 59분,23시 59분,◆1◆|지하|벽부형충전기|AC3상 7핀|완속|16|(주) 지에스커넥트|,0,16,없음
A15010203,370,3,미설치,미설치,0,0,,,시 분,시 분,시 분,시 분,,,,없음
A15010301,170,2,미설치,설치,0,4,,입주민전용,시 분,24시 0분,시 분,24시 0분,◆1◆|지하|벽부형충전기|DC콤보 7핀|완속|4|엘지유플러스볼트업|,0,4,없음
A15010302,180,0,미설치,설치,0,4,,외부인허용,시 분,0시 0분,시 분,24시 0분,◆1◆|지하|벽부형충전기|AC단상 5핀|완속|4|LG유플러스 볼트업|,0,4,없음
A15010303,331,3,미설치,설치,0,5,,외부인허용,,8시 30분,,18시 0분,◆1◆|지하|벽부형충전기|AC단상 5핀|급속|5|(차지비)|,0,5,없음
A15010304,213,4,설치,미설치,4,0,,,0시 1분,시 분,23시 1분,시 분,◆1◆|지상|스탠드형충전기|AC단상 5핀|완속|4|지에스차지비|,4,0,없음
A15010305,0,0,미설치,미설치,0,0,,,시 분,시 분,시 분,시 분,,,,없음
A15010306,766,9,미설치,설치,0,14,,입주민전용,,0시 1분,,23시 59분,◆1◆|지하|벽부형충전기|AC단상 5핀|완속|14|클린일렉스|,0,14,없음
A15010307,865,25,설치,설치,16,8,외부인허용,입주민전용,0시 0분,0시 0분,24시 0분,24시 0분,"◆1◆|지상|스탠드형충전기|AC단상 5핀|완속|16|차지비|,◆2◆|지하|벽부형충전기|AC단상 5핀|완속|8|에버온|",16,8,없음
A15010501,202,5,설치,설치,5,2,외부인허용,입주민전용,0시 1분,12시 1분,23시 59분,23시 59분,◆1◆|지상|벽부형충전기|AC단상 5핀|완속|5|(주)지에스차지비|,5,0,없음
A15010502,1537,55,미설치,설치,26,28,,입주민전용,시 분,0시 0분,시 분,23시 59분,"◆1◆|지하|벽부형충전기|AC단상 5핀|완속|15|이지차저|,◆2◆|지하|스탠드형충전기|AC단상 5핀|완속|1|한전|,◆3◆|지하|벽부형충전기|AC단상 5핀|완속|10|에버온|,◆4◆|지하|벽부형충전기|AC단상 5핀|완속|1|김성구|,◆5◆|지하|스탠드형충전기|AC3상 7핀|급속|1|한전|",0,28,없음
A15010601,287,5,미설치,설치,0,5,,입주민전용,시 분,0시 59분,시 분,0시 59분,◆1◆|지하|벽부형충전기|AC단상 5핀|완속|5|주식회사에버온|,0,5,없음
A15010602,350,6,미설치,설치,0,6,입주민전용,입주민전용,,1시 0분,,23시 59분,◆1◆|지하|벽부형충전기|AC단상 5핀|완속|5|에버온|,0,5,없음
A15072001,329,5,미설치,설치,0,6,,입주민전용,,6시 0분,,6시 0분,◆1◆|지하|벽부형충전기|DC콤보 7핀|완속|6|에버온|,0,6,있음
A15072002,3,3,설치,미설치,3,0,입주민전용,외부인허용,0시 0분,시 분,23시 59분,시 분,◆1◆|지상|벽부형충전기|AC단상 5핀|완속|3|(주)이지차저|,3,0,없음
