시도	시군구	동리	단지코드	단지명	단지분류	법정동주소	도로명주소	분양형태	사용승인일	동수	세대수	분양세대수	임대세대수	관리방식	난방방식	복도유형	시공사	주택관리업자
서울특별시	동대문구	전농동	A13002002	래미안아름숲	아파트	서울특별시 동대문구 전농동 688 래미안아름숲	서울특별시 동대문구 전농로16길 51	분양	20120726	15	719	719	0	위탁관리	개별난방	계단식	삼성물산	(주)케이비아주
서울특별시	동대문구	답십리동	A13003002	답십리동서울한양	아파트	서울특별시 동대문구 답십리동 41 답십리동서울한양	서울특별시 동대문구 답십리로 184	분양	19890725	3	499	499	0	위탁관리	개별난방	복도식	(주)한양	율산개발 유한회사
서울특별시	동대문구	답십리동	A13003003	답십리두산위브	아파트	서울특별시 동대문구 답십리동 998 답십리두산위브	서울특별시 동대문구 황물로15길 25	분양	20070426	7	516	516	0	위탁관리	개별난방	계단식	두산건설	(주)동우개발
서울특별시	동대문구	답십리동	A13003005	청계한신휴플러스	아파트	서울특별시 동대문구 답십리동 1002 청계한신휴플러스	서울특별시 동대문구 서울시립대로 14	분양	20100812	10	725	725	0	위탁관리	개별난방	계단식	한신공영(주)	주식회사 한빛종합관리
서울특별시	동대문구	답십리동	A13003007	래미안위브	아파트	서울특별시 동대문구 답십리동 1003 래미안위브	서울특별시 동대문구 답십리로 130	혼합	20141013	32	2652	2199	453	위탁관리	개별난방	혼합식	"삼성물산,두산건설"	한국주택시설관리주식회사
서울특별시	동대문구	답십리동	A13003201	답십리두산	아파트	서울특별시 동대문구 답십리동 990 답십리두산	서울특별시 동대문구 답십리로56길 21	분양	20000802	9	739	739	0	위탁관리	개별난방	혼합식	두산건설주식회사	(주)케이비아주
서울특별시	동대문구	답십리동	A13003202	답십리청솔우성	아파트	서울특별시 동대문구 답십리동 80 답십리청솔우성	서울특별시 동대문구 전농로10길 20	분양	20000318	14	1110	1110	0	위탁관리	개별난방	혼합식	우성건설	(주)두온종합관리
서울특별시	동대문구	답십리동	A13003402	세양청마루	아파트	서울특별시 동대문구 답십리동 997 세양청마루	서울특별시 동대문구 답십리로59길 7	분양	20050427	3	231	231	0	위탁관리	개별난방	계단식	세양건설산업(주)	(주)현대개발
서울특별시	동대문구	답십리동	A13003404	답십리우성그린	아파트	서울특별시 동대문구 답십리동 989-1 답십리우성그린	서울특별시 동대문구 답십리로59길 33	분양	19970523	5	496	496	0	위탁관리	개별난방	혼합식	우성건설	유원종합관리(주)
서울특별시	동대문구	답십리동	A13003405	답십리동답한신	아파트	서울특별시 동대문구 답십리동 42 답십리동답한신	서울특별시 동대문구 답십리로 210-30	분양	19920103	4	600	600	0	위탁관리	개별난방	혼합식	(주)한신공영	유원종합관리(주)
서울특별시	동대문구	답십리동	A13003406	답십리동아	아파트	서울특별시 동대문구 답십리동 10 답십리동아	서울특별시 동대문구 한천로11길 10-1	분양	20011123	7	18	18	0	위탁관리	개별난방	혼합식	동아건설	세화종합관리(주)
서울특별시	동대문구	제기동	A13006002	제기현대	아파트	서울특별시 동대문구 제기동 892-66 제기현대	서울특별시 동대문구 정릉천동로 90	분양	19991113	3	261	261	0	위탁관리	개별난방	혼합식	현대건설	남경종합관리(주)
서울특별시	동대문구	제기동	A13006003	제기이수브라운스톤	아파트	서울특별시 동대문구 제기동 252 제기이수브라운스톤	서울특별시 동대문구 왕산로23길 89	분양	20050314	4	299	299	0	위탁관리	개별난방	혼합식	이수건설	율산개발 유한회사
