시군구,동리,단지코드,단지명,단지분류,도로명주소,분양형태,사용승인일,동수,세대수,분양세대수,임대세대수,관리방식,난방방식,복도유형
마포구,서교동,A10024891,서교동 효성해링턴타워,아파트,서울특별시 마포구 양화로 72,임대,20200423,1,1121,0,1121,위탁관리,개별난방,복도식
영등포구,문래동6가,A10024925,문래롯데캐슬아파트,아파트,서울특별시 영등포구 선유로9길 30,임대,20200324,5,499,0,499,위탁관리,개별난방,혼합식
서대문구,남가좌동,A10024938,래미안루센티아 아파트,아파트,서울특별시 서대문구 거북골로 100,혼합,20200423,11,997,827,170,위탁관리,지역난방,혼합식
은평구,응암동,A10024947,백련산 해모로 아파트,아파트,서울특별시 은평구 응암로30길 15,혼합,20200618,9,760,646,114,위탁관리,개별난방,혼합식
강동구,상일동,A10025010,고덕 아르테온 아파트,아파트,서울특별시 강동구 고덕로 360,혼합,20200226,41,4066,3958,108,위탁관리,지역난방,계단식
강동구,상일동,A10025104,고덕센트럴 아이파크,아파트,서울특별시 강동구 고덕로80길 99,혼합,20191230,19,1745,1649,96,위탁관리,지역난방,계단식
노원구,상계동,A10025133,노원 센트럴푸르지오,아파트,서울특별시 노원구 수락산로 12,혼합,20210222,7,810,658,152,위탁관리,개별난방,혼합식
성북구,장위동,A10025259,석계역 한일노벨리아시티,주상복합,서울특별시 성북구 화랑로 299,분양,20190903,1,299,299,0,위탁관리,개별난방,복도식
강동구,고덕동,A10025263,고덕 그라시움 아파트,아파트,서울특별시 강동구 고덕로 333,혼합,20190927,53,4932,4792,140,위탁관리,지역난방,계단식
동대문구,휘경동,A10025410,휘경SK뷰아파트,아파트,서울특별시 동대문구 휘경로 60,혼합,20190618,8,900,726,174,위탁관리,개별난방,혼합식
용산구,효창동,A10025533,용산롯데캐슬센터포레아파트,아파트,서울특별시 용산구 백범로 313,혼합,20190429,7,478,396,82,위탁관리,개별난방,계단식
송파구,오금동,A10025657,송파 두산위브아파트,아파트,서울특별시 송파구 성내천로 103,분양,20190227,2,269,269,0,위탁관리,개별난방,계단식
동작구,흑석동,A10025770,아크로 리버하임,아파트,서울특별시 동작구 현충로 52,혼합,20191224,20,1073,911,162,위탁관리,개별난방,계단식
강남구,일원동,A10025823,래미안개포루체하임,아파트,서울특별시 강남구 개포로110길 50,혼합,20181121,12,850,800,50,위탁관리,지역난방,계단식
용산구,효창동,A10025898,용산kcc스위첸,아파트,서울특별시 용산구 백범로 275,분양,20180921,3,199,199,0,위탁관리,개별난방,계단식
광진구,구의동,A10025985,래미안 구의 파크스위트 아파트,아파트,서울특별시 광진구 광나루로 545,분양,20180927,12,854,854,0,위탁관리,개별난방,계단식
마포구,염리동,A10026036,마포자이 더 센트리지 아파트,아파트,서울특별시 마포구 숭문길 98,혼합,20180928,12,927,767,160,위탁관리,개별난방,혼합식
서초구,반포동,A10026051,반포래미안아이파크,아파트,서울특별시 서초구 서초중앙로 220,혼합,20180831,11,829,713,116,위탁관리,지역난방,계단식
강동구,상일동,A10026403,고덕숲아이파크아파트,아파트,서울특별시 강동구 고덕로80길 134,혼합,20180308,13,687,660,27,위탁관리,지역난방,계단식
서초구,서초동,A10026411,래미안서초에스티지에스아파트,아파트,서울특별시 서초구 서운로 104,혼합,20180124,5,593,502,91,위탁관리,지역난방,혼합식
광진구,자양동,A10026720,래미안 프리미어 팰리스,아파트,서울특별시 광진구 아차산로 345,혼합,20171026,2,264,215,49,위탁관리,개별난방,계단식
송파구,오금동,A10026734,송파레미니스아파트,아파트,서울특별시 송파구 성내천로 6,혼합,20171102,5,575,166,409,위탁관리,개별난방,혼합식
용산구,한강로2가,A10026759,용산푸르지오써밋,주상복합,서울특별시 용산구 한강대로 69,분양,20170801,1,151,151,0,위탁관리,개별난방,복도식
영등포구,영등포동7가,A10026816,아크로타워스퀘어,아파트,서울특별시 영등포구 국회대로54길 10,혼합,20170830,7,1221,1021,200,위탁관리,개별난방,혼합식
은평구,응암동,A10026834,힐스테이트백련산4차,아파트,서울특별시 은평구 백련산로 37,혼합,20180219,13,963,933,30,위탁관리(직영+위탁),개별난방,계단식
은평구,진관동,A10026842,은평지웰테라스,연립주택,서울특별시 은평구 진관4로 78-38,분양,20170731,12,220,220,0,위탁관리,지역난방,계단식
강동구,천호동,A10026852,래미안강동팰리스,주상복합,서울특별시 강동구 천호대로 1077,분양,20170731,3,999,999,0,위탁관리,개별난방,계단식
용산구,한강로2가,A10026922,래미안용산아파트,주상복합,서울특별시 용산구 한강대로 95,분양,20170531,2,195,195,0,위탁관리,중앙난방,혼합식
강남구,대치동,A10026924,대치SK VIEW,아파트,서울특별시 강남구 삼성로51길 25,분양,20170620,4,239,239,0,위탁관리,지역난방,계단식
용산구,한남동,A10027071,한남아이파크,주상복합,서울특별시 용산구 독서당로 46,분양,20170308,1,280,280,0,위탁관리,개별난방,복도식
종로구,평동,A10027105,경희궁자이3단지,주상복합,서울특별시 종로구 경교장길 35,분양,20170224,8,589,589,0,위탁관리,개별난방,계단식
성북구,보문동6가,A10027189,보문파크뷰자이아파트,아파트,서울특별시 성북구 보문사길 111,혼합,20170118,17,1186,978,208,위탁관리,개별난방,혼합식
강동구,고덕동,A10027207,래미안힐스테이트 고덕,아파트,서울특별시 강동구 아리수로50길 50,혼합,20161229,51,3658,3447,211,위탁관리,지역난방,계단식
양천구,신정동,A10027375,목동힐스테이트,아파트,서울특별시 양천구 중앙로36길 15,혼합,20160519,15,1081,896,185,위탁관리,개별난방,기타
서초구,잠원동,A10027439,래미안 신반포팰리스,아파트,서울특별시 서초구 잠원로8길 35,혼합,20160622,7,843,762,81,위탁관리,중앙난방,계단식
마포구,공덕동,A10027748,공덕파크자이 아파트,주상복합,서울특별시 마포구 백범로 152,분양,20150828,4,288,288,0,위탁관리,개별난방,계단식
서대문구,남가좌동,A10027817,DMC파크뷰자이아파트,아파트,서울특별시 서대문구 가재울미래로 2,혼합,20151026,61,4300,3550,750,위탁관리,지역난방,혼합식
서초구,신원동,A10028046,힐스테이트서초젠트리스,아파트,서울특별시 서초구 헌릉로8길 10-12,분양,20141219,9,256,256,0,위탁관리,개별난방,계단식
구로구,신도림동,A10028063,신도림아이파크아파트,아파트,서울특별시 구로구 경인로67길 33,임대,20150206,3,189,0,189,위탁관리,개별난방,계단식
송파구,장지동,A10028086,위례 송파푸르지오,아파트,서울특별시 송파구 위례광장로 185,분양,20150123,7,549,549,0,위탁관리,지역난방,계단식
중구,신당동,A10045002,청구e편한세상(분양),아파트,서울특별시 중구 청구로 64,분양,20111213,13,737,737,0,위탁관리,개별난방,계단식
중구,신당동,A10045302,신당남산타운(분양),아파트,서울특별시 중구 다산로 32,분양,20020525,35,3116,3116,0,위탁관리,개별난방,혼합식
중구,충무로4가,A10071301,남산센트럴자이,주상복합,서울특별시 중구 퇴계로 235,분양,20091221,2,273,273,0,위탁관리,개별난방,복도식
중구,회현동2가,A10072501,쌍용남산플래티넘,주상복합,서울특별시 중구 소공로 46,분양,20100805,2,236,236,0,위탁관리,개별난방,계단식
중구,회현동1가,A10088102,남산롯데캐슬아이리스,주상복합,서울특별시 중구 소공로 35,분양,20111118,2,386,386,0,위탁관리,중앙난방,복도식
서대문구,천연동,A12004001,서대문천연뜨란채아파트,아파트,서울특별시 서대문구 독립문로8길 54,분양,20060313,15,1008,1008,0,위탁관리,개별난방,혼합식
서대문구,홍제동,A12009102,홍제현대아파트,아파트,서울특별시 서대문구 통일로39가길 57,분양,19920708,8,704,704,0,위탁관리,개별난방,계단식
