단지코드,일반관리-관리방식,일반관리-인원,경비관리-관리방식,경비관리-인원,경비관리-계약업체,청소관리-관리방식,청소관리-인원,청소관리-계약업체,음식물 처리방법,소독관리-관리방식,소독관리-계약업체
A13203408,위탁관리,6,위탁관리,9,진성관리(주),위탁관리,5,주식회사 에스제이두웰,음식물쓰레기종량제,위탁관리,(주)굿에어테크
A13204001,위탁관리,3,위탁관리,2,(주)대온,위탁관리,2,(주)대온,차량수거방식,위탁관리,동서환경(주)
A13204002,위탁관리,5,위탁관리,6,(주)케이엔비자산관리,위탁관리,5,(주)유현종합관리,차량수거방식,위탁관리,(주)휘성
A13204103,위탁관리,14,위탁관리,22,예주산업(주),위탁관리,12,나라개발시스템,음식물쓰레기종량제,위탁관리,삼우안전관리(주)
A13204104,위탁관리,13,위탁관리(직영+위탁),22,세화종합관리,위탁관리,10,진성관리,차량수거방식,위탁관리,라이프티엔
A13204105,위탁관리,20,위탁관리,56,(주)에스텍플러스,위탁관리,20,(주)이데아그룹,음식물쓰레기종량제,위탁관리,세영에이앤씨
A13204201,자치관리,3,자치관리,3,,위탁관리,2,티엔크린(주),차량수거방식,위탁관리,티엔크린(주)
A13204203,위탁관리,4,위탁관리,4,(주)동남시큐리티,위탁관리,4,인덕종합관리,음식물쓰레기종량제,위탁관리,좋은서비스
A13204204,위탁관리,9,위탁관리,12,(주)유케이개발,위탁관리,9,,음식물쓰레기종량제,위탁관리,
A13204205,위탁관리,8,위탁관리,8,sk쉴더스,위탁관리,11,두원에이엔,음식물쓰레기종량제,위탁관리,우원방재
A13204301,위탁관리,2,위탁관리,3,원광,위탁관리,2,동진종합시스템,차량수거방식,위탁관리,태양방역
A13204302,위탁관리,5,위탁관리,10,진성관리,위탁관리,5,인동,차량수거방식,위탁관리,와이브이시스템
A13204402,위탁관리,4,위탁관리,4,한국보안컨설팅(주),위탁관리,2,(주)우리관리,음식물쓰레기종량제,위탁관리,(주)청정티엠에스
A13204404,위탁관리,7,자치관리(직영),8,,위탁관리,9,나라개발시스템,차량수거방식,위탁관리,(주)휘성
A13204406,위탁관리,12,위탁관리,15,(주)탄천산업,위탁관리,12,,음식물쓰레기종량제,위탁관리,
A13204408,위탁관리,16,위탁관리,22,백송종합관리,위탁관리,12,,차량수거방식,위탁관리,
A13204409,위탁관리,15,위탁관리,37,탄천산업,위탁관리,22,크린서비스,음식물쓰레기종량제,위탁관리,와이브시스템
A13204501,위탁관리,2,위탁관리,2,주식회사태경종합관리,위탁관리,2,이데아그룹,음식물쓰레기종량제,위탁관리,한진환경
A13204502,위탁관리,3,위탁관리,3,홈스웰,위탁관리,2,대온관리,차량수거방식,위탁관리,태은환경
A13204503,위탁관리,4,위탁관리,2,한국보안컨설팅,위탁관리,2,(주)정광기업,음식물쓰레기종량제,위탁관리,굿에어테크
A13204505,자치관리,5,자치관리,3,,자치관리,3,,음식물쓰레기종량제,위탁관리,거문환경
A13204506,위탁관리,5,위탁관리,6,새롬에스앤씨(주),위탁관리,4,이데아그룹,차량수거방식,위탁관리,한빛티에스
A13204507,위탁관리,6,위탁관리,9,(주)백송종합관리,위탁관리,4,(주)대신관리,음식물쓰레기종량제,위탁관리,(주)에스앤산업
A13204508,위탁관리,6,위탁관리,12,(주)혜진종합관리,위탁관리,4,나라개발시스템(주),음식물쓰레기종량제,위탁관리,(주)우미종합
A13204510,위탁관리,14,위탁관리,27,(주)동익,위탁관리,27,삼우안전관리(유),차량수거방식,위탁관리,(주)21세기매니지먼트
A13272101,위탁관리,4,위탁관리,2,(주)국제안전시스템,위탁관리,2,(주)인동종합관리,음식물쓰레기종량제,위탁관리,성산산업개발
A13272102,위탁관리,4,위탁관리,6,(주)혜진종합관리,위탁관리,3,(주)동아씨스템,음식물쓰레기종량제,위탁관리,성산산업개발(주)
A13272201,위탁관리,4,위탁관리,4,듀델코리아,위탁관리,3,탄천산업,음식물쓰레기종량제,위탁관리,굿에어테크
A13275302,위탁관리,4,위탁관리,6,(주)세연종합관리,위탁관리,3,(주)세연종합관리,음식물쓰레기종량제,위탁관리,(주)이수환경
A13276414,위탁관리,2,위탁관리,2,(주)혜진종합관리,위탁관리,2,(주)혜진종합관리,차량수거방식,위탁관리,굿에어테크
A13276415,위탁관리,8,위탁관리,14,태영종합건물관리(주),위탁관리,10,(주)진성관리,음식물쓰레기종량제,위탁관리,(주)굿에어테크
A13276416,위탁관리,6,위탁관리,8,위더스엔(주),위탁관리,6,(주)진성관리,음식물쓰레기종량제,위탁관리,(주)태영건물종합관리
A13276417,위탁관리,5,위탁관리,8,(주)경진이앤지,위탁관리,4,국보종합관리,음식물쓰레기종량제,위탁관리,동진엠엔에스
A13280104,위탁관리,4,위탁관리,4,웅산산업개발(주),위탁관리,2,동진종합시스템,차량수거방식,위탁관리,(주)휘성
A13281201,자치관리,4,위탁관리,5,(주)혜진종합관리,위탁관리,3,위더스엔(주),차량수거방식,위탁관리,티엔크린(주)
A13281802,위탁관리,5,위탁관리,10,에이스시설관리,위탁관리,5,굿모니대양,음식물쓰레기종량제,위탁관리,제일종합관리
A13282510,위탁관리,5,위탁관리,8,백송종합관리,위탁관리,6,동진종합시스템,음식물쓰레기종량제,위탁관리,굿에어테크
A13283405,위탁관리,4,위탁관리,4,서림주택관리(주),위탁관리,3,승인산업(주),음식물쓰레기종량제,위탁관리,나라개발시스템(주)
A13283611,위탁관리,6,위탁관리,10,(주)혜진종합관리,위탁관리,7,(주)유현종합관리,음식물쓰레기종량제,위탁관리,청정티엠에스
A13285305,위탁관리,4,위탁관리,6,혜진종합관리,위탁관리,3,대신관리,기타,위탁관리,태은환경
A13285401,위탁관리,2,자치관리,2,,위탁관리(직영+위탁),2,,차량수거방식,위탁관리,성산산업개발
A13285404,위탁관리,7,,,,위탁관리,3,(유)굿모닝대양,차량수거방식,위탁관리,(주)휘성
A13285406,위탁관리,6,위탁관리(직영+위탁),8,주.로이안에이치앤에프,위탁관리,7,로이안에이치엔에프,음식물쓰레기종량제,위탁관리,굿에어테크
A13285503,위탁관리,2,위탁관리,4,태영건물종합관리,위탁관리,2,태영종합건물관리,음식물쓰레기종량제,위탁관리,굿에어테크
A13285507,위탁관리,4,위탁관리,6,(주)혜진종합관리,위탁관리,3,(주)이엠피서비스,차량수거방식,위탁관리,(주)태은환경
A13285601,위탁관리,2,위탁관리,3,(주)혜진종합관리,자치관리(직영),1,,음식물쓰레기종량제,위탁관리,(주)휘성
A13286002,위탁관리,3,위탁관리,2,(주)혜진종합관리,위탁관리,2,(주)에코그린티엠,음식물쓰레기종량제,위탁관리,에이스시설관리주식회사
