단지코드,건물구조,전기-수전용량,전기-세대전기계약방식,승강기관리-관리방식,승강기대수,총주차대수,CCTV대수,홈네트워크,부대복리시설,최고층수,지하층수
A10025097,철근콘크리트구조,3555,종합계약,위탁관리,21,1116,285,유,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",30,2
A13984005,철근콘크리트구조,8050,단일계약,위탁관리,37,2055,115,무,"관리사무소, 노인정, 어린이놀이터",14,0
A13987502,철근콘크리트구조,1080,단일계약,위탁관리,9,261,61,유,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",15,1
A10024812,철근콘크리트구조,500,단일계약,위탁관리,4,163,35,무,"관리사무소, 노인정, 어린이놀이터",22,2
A13991015,철근콘크리트구조,609,종합계약,위탁관리,4,151,24,무,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",20,1
A13984813,철근콘크리트구조,1000,기타,위탁관리,25,546,78,무,,15,0
A13984814,철근콘크리트구조,1500,기타,위탁관리,29,787,140,무,"관리사무소, 노인정, 보육시설, 어린이놀이터, 휴게시설, 자전거보관소",15,1
A13985106,철근콘크리트구조,455,기타,위탁관리,16,492,94,무,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 유치원, 자전거보관소",15,1
A13985105,철근콘크리트구조,600,기타,위탁관리,6,275,62,무,,15,1
A13985107,철근콘크리트구조,650,기타,위탁관리,10,389,69,무,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",15,1
A13991017,철근콘크리트구조,950,단일계약,위탁관리,9,236,46,무,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 커뮤니티공간, 자전거보관소",15,1
A13905003,철근콘크리트구조,2000,단일계약,위탁관리,12,489,70,무,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 자전거보관소",25,2
A13905101,철근콘크리트구조,900,단일계약,위탁관리,5,238,47,무,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",19,3
A13905202,철근콘크리트구조,950,단일계약,위탁관리,8,252,68,무,"관리사무소, 노인정, 어린이놀이터, 휴게시설, 자전거보관소",15,1
A10021254,,,,,0,0,,,,19,3
A13980512,철근콘크리트구조,450,기타,위탁관리,18,383,69,무,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 유치원, 자전거보관소",15,0
A13980803,철근콘크리트구조,610,종합계약,위탁관리,3,144,26,무,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",21,2
A13980017,철골철근콘크리트구조,1400,단일계약,위탁관리,8,354,36,무,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 자전거보관소",15,0
A13980510,철근콘크리트구조,550,기타,위탁관리,9,257,97,무,"관리사무소, 노인정, 어린이놀이터",15,1
A10026289,철근콘크리트구조,500,종합계약,위탁관리,4,150,32,무,"관리사무소, 노인정, 어린이놀이터",18,2
A13980511,철근콘크리트구조,500,단일계약,위탁관리,10,321,69,무,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 휴게시설, 자전거보관소, 기타",15,1
A13980402,철근콘크리트구조,700,종합계약,위탁관리,5,219,37,무,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",21,2
A13980801,철근콘크리트구조,810,단일계약,위탁관리(직영+위탁),3,172,32,유,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 자전거보관소",16,2
A13980105,철근콘크리트구조,800,단일계약,위탁관리,5,224,48,무,"관리사무소, 노인정, 자전거보관소",19,2
A13980604,철근콘크리트구조,600,단일계약,위탁관리(직영+위탁),5,168,35,무,,20,2
A13980706,철근콘크리트구조,973,단일계약,위탁관리,6,206,50,무,"관리사무소, 노인정, 어린이놀이터, 휴게시설, 자전거보관소",19,2
A13924205,철근콘크리트구조,950,단일계약,위탁관리,8,255,51,무,"관리사무소, 노인정, 어린이놀이터",15,1
A13980411,철근콘크리트구조,1730,단일계약,위탁관리,9,502,98,무,"관리사무소, 노인정, 어린이놀이터, 자전거보관소, 기타",24,2
A13980415,철근콘크리트구조,1600,단일계약,위탁관리,16,651,112,무,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 휴게시설, 자전거보관소",24,3
A13980018,철근콘크리트구조,2000,단일계약,위탁관리,10,505,89,무,"관리사무소, 노인정, 보육시설, 어린이놀이터, 자전거보관소",15,0
A13980403,철근콘크리트구조,960,단일계약,위탁관리,6,223,46,무,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 자전거보관소, 기타",18,2
A13980509,철근콘크리트구조,250,기타,위탁관리,7,260,11,무,"관리사무소, 노인정, 어린이놀이터, 유치원, 자전거보관소",15,1
A13980107,철근콘크리트구조,950,종합계약,위탁관리,9,436,79,무,,19,2
A13980401,철근콘크리트구조,750,종합계약,위탁관리,7,245,40,무,"관리사무소, 노인정, 어린이놀이터",18,1
A13980102,철근콘크리트구조,700,단일계약,위탁관리,2,154,32,무,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 자전거보관소, 기타",16,2
A13980012,철근콘크리트구조,1700,단일계약,위탁관리,20,505,110,유,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",15,2
